State,Year,Adult.Obesity,Adult.Obesity*100,Average.Age,Average.Income,Population,Poverty.Rate,Poverty.Rate*100,Real.GDP,Real.GDP.Growth,Real.GDP.Growth*100,Real.Personal.Income,Region,Region.Encoding,Unit,Real.GDP.Per.Capita,YearFE
New Hampshire,2014,0.268999994,26.9,40.4509882,34680.42861,1326813,0.091636997,9.16,69473.8,0.0098,0.98,64684.7,New England Region,1,Millions of chained 2012 dollars,0.05236141,2014
New Hampshire,2015,0.270999998,27.1,40.82892633,35962.09122,1330608,0.082330016,8.23,71175.1,0.0245,2.45,67320,New England Region,1,Millions of chained 2012 dollars,0.05349066,2015
New Hampshire,2016,0.273000002,27.3,41.05944156,36669.84119,1334795,0.072964701,7.30,72543.8,0.0192,1.92,68884.7,New England Region,1,Millions of chained 2012 dollars,0.054348271,2016
New Hampshire,2017,0.279000014,27.9,41.35270983,38328.50237,1342795,0.076962163,7.70,73981,0.0198,1.98,70567.8,New England Region,1,Millions of chained 2012 dollars,0.055094784,2017
New Jersey,2014,0.245000005,24.5,38.91053599,36468.96279,8938175,0.111034621,11.10,525023.3,0.0032,0.32,445155.6,Mideast Region,2,Millions of chained 2012 dollars,0.058739429,2014
New Jersey,2015,0.244000003,24.4,39.07707535,37416.80236,8958013,0.107738532,10.77,533614.9,0.0164,1.64,464865.6,Mideast Region,2,Millions of chained 2012 dollars,0.059568444,2015
New Jersey,2016,0.246999994,24.7,39.24241316,38845.00227,8944469,0.104443168,10.44,537148.7,0.0066,0.66,473264.9,Mideast Region,2,Millions of chained 2012 dollars,0.060053727,2016
New Jersey,2017,0.256000012,25.6,39.45688437,40627.22391,9005644,0.099949384,9.99,543993.3,0.0127,1.27,484446,Mideast Region,2,Millions of chained 2012 dollars,0.060405819,2017
New Mexico,2014,0.234999999,23.5,37.99462593,23341.30338,2085572,0.213223011,21.32,89151.4,0.0306,3.06,79908.8,Southwest Region,6,Millions of chained 2012 dollars,0.042746738,2014
New Mexico,2015,0.234999999,23.5,38.24397621,24166.55303,2085109,0.20437667,20.44,90868.4,0.0193,1.93,82861.6,Southwest Region,6,Millions of chained 2012 dollars,0.043579688,2015
New Mexico,2016,0.236000001,23.6,38.63273547,25123.85819,2081015,0.198319742,19.83,90970.1,0.0011,0.11,83929.2,Southwest Region,6,Millions of chained 2012 dollars,0.043714293,2016
New Mexico,2017,0.239999995,24,38.70196785,25313.832,2088070,0.196535346,19.65,90989.1,2.00E-04,0.02,83983,Southwest Region,6,Millions of chained 2012 dollars,0.043575694,2017
New York,2014,0.245000005,24.5,38.69776672,33292.71841,19746227,0.159291374,15.93,1348203.5,0.0219,2.19,938992,Mideast Region,2,Millions of chained 2012 dollars,0.068276512,2014
New York,2015,0.241999999,24.2,38.86280902,34427.08042,19795791,0.154017139,15.40,1369097,0.0155,1.55,976335.8,Mideast Region,2,Millions of chained 2012 dollars,0.069161015,2015
New York,2016,0.240999997,24.1,39.05693464,35405.19543,19745289,0.147311224,14.73,1388266.8,0.014,1.4,998198,Mideast Region,2,Millions of chained 2012 dollars,0.070308761,2016
New York,2017,0.246000007,24.6,39.34784973,37157.92734,19849399,0.14077471,14.08,1407216.7,0.0137,1.37,1052014.9,Mideast Region,2,Millions of chained 2012 dollars,0.070894675,2017
North Carolina,2014,0.289999992,29,38.20797521,25856.36052,9943964,0.172175141,17.22,453629.3,0.0186,1.86,424196.2,Southeast Region,5,Millions of chained 2012 dollars,0.045618558,2014
North Carolina,2015,0.289999992,29,38.42669118,26837.67283,10042802,0.164231155,16.42,467754.1,0.0311,3.11,447825.4,Southeast Region,5,Millions of chained 2012 dollars,0.046576055,2015
North Carolina,2016,0.291000009,29.1,38.69224478,28190.77312,10146788,0.153942436,15.39,472930.5,0.0111,1.11,458856.2,Southeast Region,5,Millions of chained 2012 dollars,0.046608887,2016
North Carolina,2017,0.296999991,29.7,38.86136378,29533.72011,10273419,0.147000982,14.70,482009.6,0.0192,1.92,470769.5,Southeast Region,5,Millions of chained 2012 dollars,0.046918129,2017
North Dakota,2014,0.296000004,29.6,37.35287945,32389.47774,739482,0.115450468,11.55,56304.5,0.0718,7.18,44151.6,Plains Region,4,Millions of chained 2012 dollars,0.07614046,2014
North Dakota,2015,0.294999987,29.5,37.41825378,33800.56887,756928,0.109618598,10.96,54610.7,-0.0301,-3.01,42915.1,Plains Region,4,Millions of chained 2012 dollars,0.072147813,2015
North Dakota,2016,0.301999986,30.2,37.51933695,32682.2948,757953,0.10722656,10.72,50752.3,-0.0707,-7.07,41923.5,Plains Region,4,Millions of chained 2012 dollars,0.066959693,2016
North Dakota,2017,0.31099999,31.1,37.75016713,33719.34738,755393,0.103213113,10.32,49916.1,-0.0165,-1.65,41813.4,Plains Region,4,Millions of chained 2012 dollars,0.066079643,2017
Ohio,2014,0.300999999,30.1,39.05513619,26894.92589,11594163,0.158364329,15.84,570362.2,0.0355,3.55,540330.3,Great Lakes Region,3,Millions of chained 2012 dollars,0.049193909,2014
Ohio,2015,0.301999986,30.2,39.21611768,28070.6908,11613423,0.148239451,14.82,577276.8,0.0121,1.21,561307.1,Great Lakes Region,3,Millions of chained 2012 dollars,0.049707722,2015
Ohio,2016,0.305000007,30.5,39.35226732,29144.53534,11614373,0.145771555,14.58,581594.3,0.0075,0.75,566888.1,Great Lakes Region,3,Millions of chained 2012 dollars,0.050075394,2016
Ohio,2017,0.31400001,31.4,39.4711291,30127.10124,11658609,0.139702078,13.97,590884.3,0.016,1.6,579989,Great Lakes Region,3,Millions of chained 2012 dollars,0.05068223,2017
Oklahoma,2014,0.32100001,32.1,37.40873831,25278.78958,3878051,0.165936209,16.59,188064.8,0.0589,5.89,192185.7,Southwest Region,6,Millions of chained 2012 dollars,0.048494669,2014
Oklahoma,2015,0.321999997,32.2,37.51965056,25987.1705,3911338,0.160923598,16.09,194564.6,0.0346,3.46,187296.7,Southwest Region,6,Millions of chained 2012 dollars,0.049743745,2015
Oklahoma,2016,0.324000001,32.4,37.58972398,26155.44148,3923561,0.16285293,16.29,189121.5,-0.028,-2.8,177940.2,Southwest Region,6,Millions of chained 2012 dollars,0.048201493,2016
Oklahoma,2017,0.326999992,32.7,37.74687702,26286.88472,3930864,0.158287178,15.83,189568.6,0.0024,0.24,182675.3,Southwest Region,6,Millions of chained 2012 dollars,0.048225683,2017
Oregon,2014,0.25999999,26,39.33856576,27675.26384,3970239,0.165520518,16.55,181992.3,0.0352,3.52,165984.5,Far West Region,8,Millions of chained 2012 dollars,0.04583913,2014
Oregon,2015,0.268000007,26.8,39.54009293,29261.38513,4028977,0.153597463,15.36,191594.8,0.0528,5.28,179151.1,Far West Region,8,Millions of chained 2012 dollars,0.047554205,2015
Oregon,2016,0.25999999,26,39.64182422,30674.69646,4093465,0.133485206,13.35,200332.2,0.0456,4.56,184459.6,Far West Region,8,Millions of chained 2012 dollars,0.048939517,2016
Oregon,2017,0.263999999,26.4,39.7019472,31918.45573,4142776,0.132360282,13.24,206710.9,0.0318,3.18,191045.1,Far West Region,8,Millions of chained 2012 dollars,0.049896712,2017
Pennsylvania,2014,0.287999988,28.8,40.06900873,29251.0468,12787209,0.135976572,13.60,664793.3,0.0207,2.07,614709.2,Mideast Region,2,Millions of chained 2012 dollars,0.051988929,2014
Pennsylvania,2015,0.287999988,28.8,40.21118855,30452.48479,12802503,0.131602808,13.16,677872.5,0.0197,1.97,637721.2,Mideast Region,2,Millions of chained 2012 dollars,0.052948435,2015
Pennsylvania,2016,0.287999988,28.8,40.36783194,31211.71681,12784227,0.12872025,12.87,685461.6,0.0112,1.12,645792.9,Mideast Region,2,Millions of chained 2012 dollars,0.053617759,2016
Pennsylvania,2017,0.293000013,29.3,40.52725395,32810.38295,12805537,0.124915794,12.49,697182.9,0.0171,1.71,657657.9,Mideast Region,2,Millions of chained 2012 dollars,0.054443863,2017
Rhode Island,2014,0.25999999,26,39.80878207,30784.16662,1055173,0.143351827,14.34,52208.2,0.0024,0.24,49632.7,New England Region,1,Millions of chained 2012 dollars,0.049478332,2014
Rhode Island,2015,0.261999995,26.2,39.73907647,32037.2467,1056298,0.138767129,13.88,53003.3,0.0152,1.52,51454.5,New England Region,1,Millions of chained 2012 dollars,0.050178359,2015
Rhode Island,2016,0.263999999,26.4,40.06255526,32908.58038,1056426,0.127899422,12.79,52984.8,-4.00E-04,-0.04,51486.1,New England Region,1,Millions of chained 2012 dollars,0.050154767,2016
Rhode Island,2017,0.270999998,27.1,40.02048245,34875.57652,1059639,0.116210596,11.62,53404,0.0079,0.79,53154.5,New England Region,1,Millions of chained 2012 dollars,0.050398296,2017
South Carolina,2014,0.314999998,31.5,38.75691146,24801.28974,4832482,0.179866565,17.99,183282.1,0.0243,2.43,196367.6,Southeast Region,5,Millions of chained 2012 dollars,0.037927115,2014
South Carolina,2015,0.317000002,31.7,39.03517072,25405.26134,4896146,0.166461269,16.65,189166.7,0.0321,3.21,207975.6,Southeast Region,5,Millions of chained 2012 dollars,0.038635837,2015
South Carolina,2016,0.316000015,31.6,39.23495486,27087.13536,4961119,0.152675525,15.27,194465.6,0.028,2.8,213521,Southeast Region,5,Millions of chained 2012 dollars,0.039197931,2016
South Carolina,2017,0.317999989,31.8,39.48060662,27802.78975,5024369,0.153993471,15.40,199491,0.0258,2.58,221332.7,Southeast Region,5,Millions of chained 2012 dollars,0.039704687,2017
South Dakota,2014,0.300999999,30.1,37.7590342,27127.57744,853175,0.141735598,14.17,44099.9,0.0114,1.14,44127.6,Plains Region,4,Millions of chained 2012 dollars,0.051689161,2014
South Dakota,2015,0.294,29.4,38.15611979,27074.13015,858469,0.137493913,13.75,45265.8,0.0264,2.64,45922.1,Plains Region,4,Millions of chained 2012 dollars,0.05272852,2015
South Dakota,2016,0.298000008,29.8,37.97819064,29093.65012,865454,0.132524854,13.25,45423.9,0.0035,0.35,45957.1,Plains Region,4,Millions of chained 2012 dollars,0.052485632,2016
South Dakota,2017,0.298000008,29.8,38.32720723,30084.53,869666,0.13003596,13.00,45264.5,-0.0035,-0.35,46475,Plains Region,4,Millions of chained 2012 dollars,0.052048143,2017
